Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",117.340000,-32.850000,270.000000,top
"C2","100nF","C_0603",114.600000,-32.100000,270.000000,top
"C3","1uF","C_0805",114.800000,-36.100000,90.000000,top
"C4","100nF","C_0603",115.330000,-29.900000,180.000000,top
"C5","100nF","C_0402_NoSilk",88.100000,-46.700000,270.000000,top
"C6","100nF","C_0402_NoSilk",88.100000,-52.700000,270.000000,top
"C7","100nF","C_0603",115.970000,-32.100000,270.000000,top
"C8","100nF","C_0402_NoSilk",88.100000,-58.700000,270.000000,top
"C9","100nF","C_0402_NoSilk",88.100000,-64.700000,270.000000,top
"C10","100nF","C_0603",125.500000,-90.800000,180.000000,top
"C11","100nF","C_0603",86.340000,-32.850000,270.000000,top
"C12","100nF","C_0603",83.600000,-32.100000,270.000000,top
"C14","100nF","C_0603",117.700000,-143.600000,270.000000,top
"C15","22pF","C_0402_NoSilk",91.600000,-138.400000,270.000000,top
"C16","1uF","C_0805",83.800000,-36.100000,90.000000,top
"C17","1uF","C_0805",117.000000,-140.300000,90.000000,top
"C18","68uF","CP_Elec_5x5.8",122.500000,-142.200000,0.000000,top
"C19","22pF","C_0402_NoSilk",93.600000,-138.400000,270.000000,top
"C20","100nF","C_0402_NoSilk",116.500000,-143.200000,270.000000,top
"C21","22pF","C_0402_NoSilk",92.600000,-138.400000,270.000000,top
"C22","100nF","C_0603",84.350000,-29.900000,180.000000,top
"C23","100nF","C_0402_NoSilk",119.900000,-108.200000,0.000000,top
"C24","100nF","C_0402_NoSilk",117.460000,-135.320000,90.000000,top
"C25","100nF","C_0603",84.970000,-32.100000,270.000000,top
"C27","22uF","C_0805",73.000000,-146.100000,90.000000,top
"C28","100nF","C_0402_NoSilk",74.500000,-146.000000,90.000000,top
"C29","1nF","C_0402",83.600000,-148.900000,270.000000,top
"C30","1nF","C_0402",74.500000,-148.050000,90.000000,top
"C31","7pF","C_0402_NoSilk",81.400000,-151.150000,180.000000,top
"C32","33pF","C_0402_NoSilk",81.400000,-152.650000,180.000000,top
"C33","4.7uF","C_0805",112.200000,-69.200000,0.000000,top
"C34","100nF","C_0603",108.500000,-67.000000,180.000000,top
"C35","100nF","C_0402_NoSilk",116.350000,-58.000000,0.000000,top
"C36","100nF","C_0402_NoSilk",114.200000,-51.200000,270.000000,top
"C37","7pF","C_0402_NoSilk",115.600000,-143.200000,270.000000,top
"C38","33pF","C_0402_NoSilk",115.600000,-141.000000,90.000000,top
"C39","100nF","C_0402_NoSilk",108.200000,-65.200000,180.000000,top
"C40","33pF","C_0402_NoSilk",78.100000,-151.800000,90.000000,top
"C41","22uF","C_1210",78.629333,-140.490936,270.000000,top
"C42","22uF","C_1210",75.629333,-140.490936,270.000000,top
"C43","100nF","C_0402_NoSilk",105.000000,-46.800000,0.000000,top
"C44","100nF","C_0402_NoSilk",101.800000,-65.200000,180.000000,top
"C45","4.7uF","C_0805",107.500000,-95.500000,180.000000,top
"C46","4.7uF","C_0805",103.900000,-152.000000,90.000000,top
"C47","100nF","C_0402_NoSilk",95.800000,-59.200000,90.000000,top
"C48","100nF","C_0402_NoSilk",95.800000,-51.200000,90.000000,top
"C49","7pF","C_0402_NoSilk",91.600000,-57.550000,180.000000,top
"C50","10uF","C_0805",103.300000,-92.700000,90.000000,top
"C51","7pF","C_0402_NoSilk",91.600000,-55.050000,180.000000,top
"C52","4.7uF","C_0805",74.200000,-126.800000,90.000000,top
"C53","4.7uF","C_0805",76.000000,-126.800000,90.000000,top
"C54","22uF","C_1206",71.000000,-48.100000,0.000000,top
"C55","22uF","C_1206",71.000000,-53.800000,0.000000,top
"C56","330uF","CP_Elec_10x10",70.180000,-109.720000,0.000000,top
"C57","6.8nF","C_0603",67.700000,-83.180000,0.000000,top
